"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",567311.13,0,460618.2,0.9,460618.2,0,0,0,0,3685.55,2858.39,6448654.8,2759820.04,2020,0,"Afghanistan","South Asia","Low income"
"2","AGO",507715.83,0,394148.7,0.9,394148.7,0,0,0,0,11928.08,8734.66,9459568.8,10567286.58,2020,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",14818.68,0,13084.2,0.9,13084.2,0,0,0,0,77.14,46.94,549013.03,47367.57,2020,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",45219.01,0.29,40344.3,0.9,40344.3,98.39,74.34,3704951.55,69676.18,305.35,230.71,11498125.5,216236.42,2020,3635275.37,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",358150.45,0.46,317122.2,0.9,317122.2,2215.23,1456.92,6801073.17,7778803.79,4334.15,2850.5,13306447.51,15219398.73,2020,-977730.62,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",19110.33,0.08,16806.6,0.9,16806.6,12.52,9.26,35854.08,8509.4,140.83,104.22,403358.4,95730.75,2020,27344.68,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",158887.18,0.66,142272,0.9,142272,517.15,282.98,29734848,805219.4,705.21,385.88,40547520,1098026.45,2020,28929628.6,"Australia","East Asia & Pacific","High income"
"8","AUT",41033.31,0,36766.8,0.9,36766.8,0,0,0,0,201.52,106.11,10478538,296930.43,2020,0,"Austria","Europe & Central Asia","High income"
"9","AZE",66637.16,0,57339,0.9,57339,0,0,0,0,353.46,239.09,1376136,258834.62,2020,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",169483.18,0,135262.8,0.9,135262.8,0,0,0,0,5174.28,4328.45,1893679.2,5065832.2,2020,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",65882.9,0.7,59022.9,0.9,59022.9,322.74,148.39,13083409.5,464045.43,414.95,190.78,16821526.5,596629.83,2020,12619364.07,"Belgium","Europe & Central Asia","High income"
"12","BEN",167901.41,0,132151.5,0.9,132151.5,0,0,0,0,1497.77,1105.52,1850121,876880.53,2020,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",308084.27,0,241317.9,0.9,241317.9,0,0,0,0,3153.38,2620.99,3378450.6,1750649.53,2020,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1558101.34,0,1326827.7,0.9,1326827.7,0,0,0,0,11212.77,7858.97,18575587.8,8143409.48,2020,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",37539.27,0.04,33410.7,0.9,33410.7,21.94,12.1,62307.24,14124,493.6,272.19,1401912.97,317790.07,2020,48183.24,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",9509.96,0,8471.7,0.9,8471.7,0,0,0,0,40.4,26.75,2414434.5,32006.93,2020,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3233.17,0.04,2867.4,0.9,2867.4,2.03,1.49,36320.4,1762.75,45.66,33.56,817209,39661.86,2020,34557.65,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",18368.21,0,16371,0.9,16371,0,0,0,0,164.2,91.89,686927.16,102403.76,2020,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",46567.11,0,41609.7,0.9,41609.7,0,0,0,0,385.98,178.49,1745943.01,980322.2,2020,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3762.09,0.11,3319.2,0.9,3319.2,8.3,8.1,17022.33,6885.09,67.94,66.29,139273.63,56332.54,2020,10137.24,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",122113.55,0.24,102174.3,0.9,102174.3,719.34,550.36,653915.52,454305.43,2697.53,2063.86,2452183.2,1703645.35,2020,199610.09,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1485423.85,0.71,1308589.2,0.9,1308589.2,13569.18,8230.39,43316628.9,15180999.48,17200.37,10432.89,54908402.83,19243520.46,2020,28135629.42,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1761.89,0.07,1561.5,0.9,1561.5,2.22,1.51,34613.25,1583.35,28.49,19.4,445027.5,20357.39,2020,33029.9,"Barbados","Latin America & Caribbean","High income"
"24","BRN",2986.47,0.86,2655.9,0.9,2655.9,35.52,11.66,723290.1,39667.12,37.17,12.2,756931.5,41512.11,2020,683622.98,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",6884.18,0.81,5898.6,0.9,5898.6,59.13,39.61,127409.76,41355.15,65.7,44.01,141566.4,45950.17,2020,86054.61,"Bhutan","South Asia","Lower middle income"
"26","BWA",25741.89,0,21897,0.9,21897,0,0,0,0,703.2,492.23,918798.12,523703.39,2020,0,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",79943.4,0,60111,0.9,60111,0,0,0,0,857.36,705.32,841554,681175.77,2020,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",196114.5,0.87,175487.4,0.9,175487.4,865.46,501.28,48346778.7,1678307.74,895.3,518.57,50013909,1736180.42,2020,46668470.96,"Canada","North America","High income"
"29","CHE",39840.96,0.63,35685,0.9,35685,96.91,53.27,7119157.5,125361.03,138.44,76.11,10170225,179087.19,2020,6993796.47,"Switzerland","Europe & Central Asia","High income"
"30","CHL",124001.83,0.74,110552.4,0.9,110552.4,1130.2,781.2,3814106.93,1055307.59,1374.56,950.11,4638778.7,1283482.21,2020,2758799.34,"Chile","Latin America & Caribbean","High income"
"31","CHN",7931829.04,0,6993866.7,0.9,6993866.7,0,0,0,0,59979.15,38160.14,293462646.73,43347510.38,2020,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",360245.09,0.13,285654.6,0.9,285654.6,946.26,736.66,990269.28,581873.05,6551.06,5099.94,6855710.4,4028351.92,2020,408396.23,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",377279.76,0,297061.2,0.9,297061.2,0,0,0,0,6719.78,4993.56,7129468.8,3977017.6,2020,0,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1331983.96,0,1030149,0.9,1030149,0,0,0,0,26111.95,20957.74,14422086,23157754.94,2020,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",73575.68,0,61395.3,0.9,61395.3,0,0,0,0,1212.46,848.67,1473487.2,449206.21,2020,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",384424.71,0.09,339159.6,0.9,339159.6,543.18,374.82,1423113.68,498381.63,5431.8,3748.24,14231136.82,4983816.27,2020,924732.05,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",10964.02,0,8986.5,0.9,8986.5,0,0,0,0,364.33,281.58,125811,216496.53,2020,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5179.18,0,4538.7,0.9,4538.7,0,0,0,0,70.92,63.57,190443.85,39683.02,2020,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",35105.32,0.77,31205.7,0.9,31205.7,244.32,221.72,1120256.89,225078.62,285.57,259.15,1309391.17,263078.9,2020,895178.27,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6571.83,0,5886.9,0.9,5886.9,0,0,0,0,31.31,39.92,1677766.5,25048.58,2020,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",57414.41,0,51480.9,0.9,51480.9,0,0,0,0,442.2,270.41,14672056.5,642389.35,2020,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",365881.1,0.47,327877.2,0.9,327877.2,1130.44,575.28,48799056.6,1656766.71,2164.67,1101.6,93445002,3172532,2020,47142289.89,"Germany","Europe & Central Asia","High income"
"43","DJI",8567.8,0,6957,0.9,6957,0,0,0,0,88.43,70.84,166968,54928.04,2020,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",33468.65,0.7,29993.4,0.9,29993.4,200.25,94.79,6648537,284114.23,257.46,121.87,8548119,365289.72,2020,6364422.77,"Denmark","Europe & Central Asia","High income"
"45","DOM",98733.84,0.04,86180.4,0.9,86180.4,80.87,66.27,160716.87,71002.06,1819.47,1491.13,3616129.58,1597546.33,2020,89714.81,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",389946.9,0,339568.2,0.9,339568.2,0,0,0,0,2918.88,1916.04,14248281.67,1667938.71,2020,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",155109.06,0.36,136369.8,0.9,136369.8,1127.37,796.49,2288830.72,695719.07,2818.43,1991.23,5722076.81,1739297.69,2020,1593111.65,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",946222.98,0,826405.2,0.9,826405.2,0,0,0,0,2941.83,2228.76,34675962.19,3680944.42,2020,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",248307.04,0.79,222553.8,0.9,222553.8,989.56,497.83,55675542.3,1341566.42,1127.35,567.15,63427833,1528366.81,2020,54333975.88,"Spain","Europe & Central Asia","High income"
"50","EST",7473.31,0.55,6686.1,0.9,6686.1,68.4,24.18,1164495.75,59612.89,111.93,39.56,1905538.5,97548.36,2020,1104882.86,"Estonia","Europe & Central Asia","High income"
"51","ETH",1497603.46,0.76,1228369.5,0.9,1228369.5,18618.5,15063.44,14522057.2,20784305.38,22048.22,17838.28,17197173,24612993.22,2020,-6262248.18,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",30660.6,0,27496.8,0.9,27496.8,0,0,0,0,116.52,51.75,7836588,170416.41,2020,0,"Finland","Europe & Central Asia","High income"
