"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",521384.57,0,413439.3,0.9,413439.3,0,0,0,0,3249.94,2517.1,5788150.2,2433623.57,2015,0,"Afghanistan","South Asia","Low income"
"2","AGO",435977.38,0,321621.3,0.9,321621.3,0,0,0,0,9522.87,6948.34,7718911.2,8436473.32,2015,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",19684.96,0,17300.7,0.9,17300.7,0,0,0,0,101.44,61.57,725937.37,62287.49,2015,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",35229.31,0,31385.7,0.9,31385.7,0,0,0,0,235.63,177.66,8944924.5,166860.07,2015,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",355407.39,0.49,313803.9,0.9,313803.9,2317.95,1517.13,7168815.23,8139489.11,4257.45,2786.57,13167211.64,14950082.04,2015,-970673.88,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16338.51,0,14285.7,0.9,14285.7,0,0,0,0,118.34,87.26,342856.8,80445.33,2015,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",137692,0.67,123201.9,0.9,123201.9,452.11,244.87,26139336.45,703945.26,607.31,328.93,35112541.5,945598.11,2015,25435391.19,"Australia","East Asia & Pacific","High income"
"8","AUT",40890.2,0,36608.4,0.9,36608.4,0,0,0,0,198.75,104.01,10433394,292843.02,2015,0,"Austria","Europe & Central Asia","High income"
"9","AZE",61963.58,0,52461.9,0.9,52461.9,0,0,0,0,320.98,216.73,1259085.6,235051.96,2015,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",143155.18,0,109964.7,0.9,109964.7,0,0,0,0,4102.44,3424.28,1539505.8,4016463.52,2015,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",60770.3,0.66,54411.3,0.9,54411.3,278.44,126.99,11371961.7,400343.18,379.69,173.17,15507220.5,545922.52,2015,10971618.52,"Belgium","Europe & Central Asia","High income"
"12","BEN",149923.54,0,115774.2,0.9,115774.2,0,0,0,0,1293.4,953.32,1620838.8,757227.47,2015,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",275421.88,0,205861.5,0.9,205861.5,0,0,0,0,2638.41,2188.96,2882061,1464754.58,2015,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1684862.74,0,1407847.5,0.9,1407847.5,0,0,0,0,11779.14,8237.63,19709865,8554746.88,2015,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",30978.66,0.08,27473.4,0.9,27473.4,35.86,19.62,102469.68,23089.4,403.46,220.74,1152783.86,259755.75,2015,79380.28,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",8192.58,0,7278.3,0.9,7278.3,0,0,0,0,34.6,22.9,2074315.5,27415.05,2015,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3258.87,0.02,2882.7,0.9,2882.7,1.01,0.74,18257.1,874.99,45.33,33.34,821569.5,39374.34,2015,17382.11,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",16004.68,0,14239.8,0.9,14239.8,0,0,0,0,142.36,79.06,597502.01,88786.97,2015,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",42851.84,0,38142.9,0.9,38142.9,0,0,0,0,351.48,161.82,1600476.08,892692.81,2015,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",4026.62,0,3539.7,0.9,3539.7,0,0,0,0,71.38,69.6,148525.81,59183.21,2015,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",123999.42,0,101964.6,0.9,101964.6,0,0,0,0,2672.62,2029.89,2447150.4,1687913.42,2015,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1645663.73,0.5,1437192.9,0.9,1437192.9,10367.04,6266.86,33502563.38,11598487.91,18660.66,11280.34,60304614.08,20877278.24,2015,21904075.47,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1892.14,0.3,1675.8,0.9,1675.8,10.06,6.84,159201,7187.51,30.18,20.53,477603,21562.52,2015,152013.49,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3362.16,0.77,2988,0.9,2988,35.66,11.69,728574,39825.1,41.69,13.66,851580,46548.82,2015,688748.9,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",7417.71,0.96,6658.56,0.9,6658.56,73.4,49.08,159805.44,51338.36,73.4,49.08,159805.44,51338.36,2015,108467.08,"Bhutan","South Asia","Lower middle income"
"26","BWA",24172.83,0.67,20098.8,0.9,20098.8,472.12,329.07,627823.98,351606.93,634.19,442.04,843345.65,472307.81,2015,276217.05,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",75973.89,0,55780.2,0.9,55780.2,0,0,0,0,776.27,637.45,780922.8,616749.59,2015,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",177530.51,0.75,158809.5,0.9,158809.5,670.5,385.39,37717256.25,1300238.05,804.6,462.47,45260707.5,1560285.66,2015,36417018.2,"Canada","North America","High income"
"29","CHE",38562.55,0.56,34523.1,0.9,34523.1,82.46,45.02,6122096.4,106668.91,132.53,72.35,9839083.5,171432.18,2015,6015427.49,"Switzerland","Europe & Central Asia","High income"
"30","CHL",120174.35,0.73,107052.3,0.9,107052.3,1067.16,734.38,3643441.77,996448.15,1315.68,905.4,4491914.51,1228497.72,2015,2646993.62,"Chile","Latin America & Caribbean","High income"
"31","CHN",7868201.07,0,6866328.6,0.9,6866328.6,0,0,0,0,58480.91,37086.71,288111148.06,42264714.6,2015,0,"China","East Asia & Pacific","Upper middle income"
