"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",558476.4,0,452375.1,0.9,452375.1,0,0,0,0,3607.17,2796.86,6333251.4,2701125.78,2019,0,"Afghanistan","South Asia","Low income"
"2","AGO",491787.92,0,379735.2,0.9,379735.2,0,0,0,0,11442.7,8373.37,9113644.8,10137285.48,2019,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",15478.58,0,13668.3,0.9,13668.3,0,0,0,0,80.5,48.96,573521.87,49430.47,2019,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",43376.11,0.27,38697.3,0.9,38697.3,87.73,66.26,3308619.15,62124.41,292.42,220.85,11028730.5,207081.36,2019,3246494.74,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",357157.46,0.59,316206,0.9,316206,2829.11,1859.03,8697913.58,9934434.69,4315.59,2835.81,13268003.76,15154222.4,2019,-1236521.11,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",18460.98,0.07,16236,0.9,16236,10.56,7.81,30307.2,7177.52,135.75,100.4,389664,92282.45,2019,23129.68,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",155058.39,0.79,138837.6,0.9,138837.6,603.47,329.63,34732539.6,939612.13,687.49,375.53,39568716,1070444.2,2019,33792927.47,"Australia","East Asia & Pacific","High income"
"8","AUT",41043.2,0,36773.1,0.9,36773.1,0,0,0,0,201.21,105.83,10480333.5,296468.05,2019,0,"Austria","Europe & Central Asia","High income"
"9","AZE",64678.46,0,55616.4,0.9,55616.4,0,0,0,0,342.34,231.48,1334793.6,250690.96,2019,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",163613.99,0,129959.1,0.9,129959.1,0,0,0,0,4946.87,4136.46,1819427.4,4843193.67,2019,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",65001.45,0.69,58230.9,0.9,58230.9,313.43,143.91,12723451.65,450663.58,408.83,187.7,16595806.5,587822.07,2019,12272788.07,"Belgium","Europe & Central Asia","High income"
"12","BEN",163960.68,0,128795.4,0.9,128795.4,0,0,0,0,1455.5,1074.01,1803135.6,852133.03,2019,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",301380.3,0,234345.6,0.9,234345.6,0,0,0,0,3050.68,2534.74,3280838.4,1693635.26,2019,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1576117.63,0,1340269.2,0.9,1340269.2,0,0,0,0,11304.36,7919.85,18763768.8,8209929.58,2019,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",36502.48,0.08,32481.9,0.9,32481.9,42.61,23.46,121150.27,27431.15,479.33,263.94,1362940.52,308600.4,2019,93719.12,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",9240.55,0,8230.5,0.9,8230.5,0,0,0,0,39.22,25.97,2345692.5,31077.31,2019,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3268.37,0.09,2898,0.9,2898,4.6,3.38,82593,3998.59,46.03,33.84,825930,39985.9,2019,78594.41,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",17873.13,0,15927.3,0.9,15927.3,0,0,0,0,159.65,89.22,668309.51,99567.12,2019,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",46124.74,0,41205.6,0.9,41205.6,0,0,0,0,381.75,176.39,1728986.98,969572.83,2019,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3811.89,0.63,3362.4,0.9,3362.4,48.04,46.86,98760.41,39831.36,68.63,66.95,141086.3,56901.95,2019,58929.05,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",122319.34,0.7,102177.9,0.9,102177.9,2095.15,1600.74,1907320.8,1323205.04,2693.76,2058.09,2452269.6,1701263.62,2019,584115.76,"Bolivia","Latin America & Caribbean","Lower middle income"
