"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",547904.96,0,442764.9,0.9,442764.9,0,0,0,0,3519.09,2727.9,6198708.6,2635169.9,2018,0,"Afghanistan","South Asia","Low income"
"2","AGO",474856.61,0,364694.4,0.9,364694.4,0,0,0,0,10945.17,8004.04,8752665.6,9696514.35,2018,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",16437.96,0,14517,0.9,14517,0,0,0,0,85.42,51.93,609133.32,52449.48,2018,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",41352.35,0.27,36889.2,0.9,36889.2,83.51,63.05,3154026.6,59137.82,278.37,210.16,10513422,197126.05,2018,3094888.78,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",356546.5,0.58,315628.2,0.9,315628.2,2772.45,1820.29,8534867.09,9735470.47,4302.07,2824.58,13243759.27,15106764.52,2018,-1200603.38,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",17763.57,0.02,15623.1,0.9,15623.1,2.9,2.14,8332.32,1969.39,130.37,96.36,374954.4,88622.52,2018,6362.93,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",150577.91,0.74,134820,0.9,134820,548.4,299.05,31592820,853873.7,666.97,363.71,38423700,1038495.04,2018,30738946.3,"Australia","East Asia & Pacific","High income"
"8","AUT",41042.03,0,36769.5,0.9,36769.5,0,0,0,0,200.86,105.55,10479307.5,295960.99,2018,0,"Austria","Europe & Central Asia","High income"
"9","AZE",63436.65,0,54512.1,0.9,54512.1,0,0,0,0,335.1,226.51,1308290.4,245386.37,2018,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",157700.93,0,124668,0.9,124668,0,0,0,0,4723.17,3947.82,1745352,4624177.13,2018,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",63898.9,0.69,57240.9,0.9,57240.9,307.71,141.09,12507136.65,442438.02,401.37,184.03,16313656.5,577093.07,2018,12064698.63,"Belgium","Europe & Central Asia","High income"
"12","BEN",159934.85,0,125385.3,0.9,125385.3,0,0,0,0,1413.08,1042.44,1755394.2,827298.53,2018,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",294049.4,0,226978.2,0.9,226978.2,0,0,0,0,2944.17,2445.44,3177694.8,1634502.83,2018,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1596762.67,0,1355902.2,0.9,1355902.2,0,0,0,0,11415.28,7994.38,18982630.8,8290488.65,2018,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",34920.06,0.1,31068,0.9,31068,50.89,27.98,144845.92,32761.66,457.98,251.85,1303613.28,294854.93,2018,112084.26,"Bulgaria","Europe & Central Asia","Upper middle income"
