"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",510411.1,0,403654.5,0.9,403654.5,0,0,0,0,3160.75,2447.33,5651163,2366835.62,2014,0,"Afghanistan","South Asia","Low income"
"2","AGO",422131.03,0,309107.7,0.9,309107.7,0,0,0,0,9109.27,6641.73,7418584.8,8070054.42,2014,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",20831.7,0,18298.8,0.9,18298.8,0,0,0,0,107.17,65.01,767817.65,65805.2,2014,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",34056.28,0,30338.1,0.9,30338.1,0,0,0,0,227.38,171.37,8646358.5,161018.89,2014,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",353947.24,0.54,312471,0.9,312471,2539.71,1660.55,7866769.9,8918221.82,4232.85,2767.59,13111283.16,14863703.03,2014,-1051451.92,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16159.86,0,14127.3,0.9,14127.3,0,0,0,0,116.74,86.02,339055.2,79358.14,2014,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",137055.57,0.66,122626.8,0.9,122626.8,442.75,239.25,25629001.2,689369.55,603.75,326.25,34948638,940049.38,2014,24939631.65,"Australia","East Asia & Pacific","High income"
"8","AUT",41114.23,0,36808.2,0.9,36808.2,0,0,0,0,199.42,104.22,10490337,293839.11,2014,0,"Austria","Europe & Central Asia","High income"
"9","AZE",62964.67,0,53253,0.9,53253,0,0,0,0,325.31,219.57,1278072,238222.17,2014,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",139234.94,0,106408.8,0.9,106408.8,0,0,0,0,3948.39,3294.2,1489723.2,3865642.39,2014,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",60307.69,0.64,53993.7,0.9,53993.7,267.49,121.79,10942723.2,384609.55,376.16,171.26,15388204.5,540857.17,2014,10558113.65,"Belgium","Europe & Central Asia","High income"
"12","BEN",146518.18,0,112843.8,0.9,112843.8,0,0,0,0,1256.82,926.1,1579813.2,735812.75,2014,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",269090.55,0,199557.9,0.9,199557.9,0,0,0,0,2546.6,2111.99,2793810.6,1413785.29,2014,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1689821.19,0,1408941,0.9,1408941,0,0,0,0,11763.17,8222.61,19725174,8543149.41,2014,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",30230.37,0.14,26803.8,0.9,26803.8,61.15,33.4,174951.38,39371.28,393.12,214.73,1124687.45,253101.09,2014,135580.1,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",7952.87,0,7065,0.9,7065,0,0,0,0,33.57,22.22,2013525,26594.74,2014,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3280.72,0,2901.6,0.9,2901.6,0,0,0,0,45.5,33.47,826956,39529.51,2014,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",17385.13,0,15463.8,0.9,15463.8,0,0,0,0,154.5,85.66,648861.05,96353.62,2014,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",42285.5,0,37631.7,0.9,37631.7,0,0,0,0,346.29,159.29,1579026.13,879500.23,2014,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",4027.9,0,3539.7,0.9,3539.7,0,0,0,0,71.16,69.38,148525.81,58999.69,2014,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",123443.25,0,101293.2,0.9,101293.2,0,0,0,0,2651.01,2010.42,2431036.8,1674265.62,2014,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1673257.8,0.59,1460605.5,0.9,1460605.5,12400.19,7490.42,40177037.78,13873147.69,18915.54,11426.06,61287006.78,21162428.68,2014,26303890.09,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1897.29,0.08,1680.3,0.9,1680.3,2.68,1.82,42567.6,1916.51,30.18,20.53,478885.5,21560.73,2014,40651.09,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3381.52,0.81,3005.1,0.9,3005.1,37.71,12.35,770808.15,42105.21,41.9,13.72,856453.5,46783.57,2014,728702.94,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",7545.37,0.94,6619.48,0.9,6619.48,72.81,48.66,158867.52,50922.92,72.81,48.66,158867.52,50922.92,2014,107944.6,"Bhutan","South Asia","Lower middle income"
"26","BWA",23753.28,0,19698.3,0.9,19698.3,0,0,0,0,619.26,431.25,826540.67,461184.59,2014,0,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",74327.18,0,54453.6,0.9,54453.6,0,0,0,0,753.39,618.43,762350.4,598570.85,2014,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",180229.58,0.74,161212.5,0.9,161212.5,670.55,384.77,37777462.5,1300328.64,815.53,467.96,45945562.5,1581480.78,2014,36477133.86,"Canada","North America","High income"
"29","CHE",38677.9,0.56,34623.9,0.9,34623.9,82.51,44.97,6139971.6,106727.29,132.6,72.27,9867811.5,171526.01,2014,6033244.31,"Switzerland","Europe & Central Asia","High income"
"30","CHL",121582.5,0,108297,0.9,108297,0,0,0,0,1327.65,912.74,4544142.12,1239677.41,2014,0,"Chile","Latin America & Caribbean","High income"
"31","CHN",7943205.99,0,6927005.7,0.9,6927005.7,0,0,0,0,58911.27,37334.14,290657159.17,42575742.8,2014,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",336941.94,0,260315.1,0.9,260315.1,0,0,0,0,5790.74,4494.92,6247562.4,3560820.47,2014,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",326466.74,0,250570.8,0.9,250570.8,0,0,0,0,5527.46,4094.54,6013699.2,3271354.93,2014,0,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1103801.6,0,822859.2,0.9,822859.2,0,0,0,0,20391.94,16326.17,11520028.8,18084880.5,2014,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",61947.4,0,49872.6,0.9,49872.6,0,0,0,0,952.29,662.49,1196942.4,352816.11,2014,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",422892.74,0.17,371997.9,0.9,371997.9,1108.15,760.55,2948372.69,1016753,5866.66,4026.46,15609031.88,5382809.99,2014,1931619.69,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",9782.26,0,7908.3,0.9,7908.3,0,0,0,0,315.46,243.24,110716.2,187453.25,2014,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5350.08,0,4676.4,0.9,4676.4,0,0,0,0,72.32,64.71,196221.74,40464.83,2014,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",36222.77,0,32165.1,0.9,32165.1,0,0,0,0,291.51,261.93,1349647.6,268547.56,2014,0,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6338.87,0,5670.9,0.9,5670.9,0,0,0,0,29.91,37.53,1616206.5,23931.41,2014,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",45179.83,0,40464,0.9,40464,0,0,0,0,344.02,208.65,11532240,499755.49,2014,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",374497.39,0.31,335352.6,0.9,335352.6,756.59,381.46,32920446.9,1108863.26,2196.56,1107.46,95575491,3219280.43,2014,31811583.64,"Germany","Europe & Central Asia","High income"
"43","DJI",9337.37,0,7436.7,0.9,7436.7,0,0,0,0,92.82,74.19,178480.8,57652.03,2014,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",32509.68,0.66,29101.5,0.9,29101.5,181.48,84.82,6082213.5,257491.72,247.48,115.66,8293927.5,351125.07,2014,5824721.78,"Denmark","Europe & Central Asia","High income"
"45","DOM",99598.45,0,86475.6,0.9,86475.6,0,0,0,0,1789.4,1461.63,3628516.18,1571149.14,2014,0,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",285452.37,0,246787.2,0.9,246787.2,0,0,0,0,2093.49,1371.58,10355190.91,1196286.2,2014,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",156026.43,0.81,136275.3,0.9,136275.3,2487.31,1748.55,5146300.43,1534958.4,2763.67,1942.84,5718111.59,1705509.33,2014,3611342.03,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",869051.13,0,752488.2,0.9,752488.2,0,0,0,0,2609.56,1965.99,31574404.87,3265192.07,2014,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",212962.69,0.73,190719,0.9,190719,777.05,388.17,44087875.5,1053466.34,958.01,478.56,54354915,1298794.12,2014,43034409.16,"Spain","Europe & Central Asia","High income"
"50","EST",6020.4,0,5371.2,0.9,5371.2,0,0,0,0,89.13,31.27,1530792,77677.64,2014,0,"Estonia","Europe & Central Asia","High income"
