"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",532602.25,0,423571.5,0.9,423571.5,0,0,0,0,3342.47,2589.56,5930001,2502910.96,2016,0,"Afghanistan","South Asia","Low income"
"2","AGO",451133.67,0,335377.8,0.9,335377.8,0,0,0,0,9977.01,7285.39,8049067.2,8838799.17,2016,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",18516.84,0,16282.8,0.9,16282.8,0,0,0,0,95.59,58.05,683226.29,58696.72,2016,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",37382.11,0,33307.2,0.9,33307.2,0,0,0,0,250.51,188.97,9492552,177401.75,2016,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",356161.13,0.56,314518.5,0.9,314518.5,2659.48,1742.63,8211588.78,9338776.91,4274.16,2800.65,13197196.26,15008748.61,2016,-1127188.13,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16718.82,0,14621.4,0.9,14621.4,0,0,0,0,121.44,89.62,350913.6,82551.64,2016,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",141553.62,0.71,126664.2,0.9,126664.2,493.21,267.8,28478334.3,767937.26,625.19,339.47,36099297,973441.6,2016,27710397.04,"Australia","East Asia & Pacific","High income"
"8","AUT",41011.14,0,36717.3,0.9,36717.3,0,0,0,0,199.79,104.71,10464430.5,294374.58,2016,0,"Austria","Europe & Central Asia","High income"
"9","AZE",62015.6,0,52564.5,0.9,52564.5,0,0,0,0,322.15,217.6,1261548,235904.36,2016,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",148115.41,0,114397.2,0.9,114397.2,0,0,0,0,4290.56,3583.04,1601560.8,4200639.94,2016,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",61723.54,0.67,55269,0.9,55269,287.61,131.43,11726239.5,413537.1,386.35,176.55,15751665,555497.6,2016,11312702.4,"Belgium","Europe & Central Asia","High income"
"12","BEN",153412.85,0,118809.9,0.9,118809.9,0,0,0,0,1331.3,981.55,1663338.6,779415.52,2016,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",282198.68,0,212661.9,0.9,212661.9,0,0,0,0,2736.99,2271.68,2977266.6,1519485.59,2016,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1662284.09,0,1392111.9,0.9,1392111.9,0,0,0,0,11672.88,8167.38,19489566.6,8477572.72,2016,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",32198.99,0.06,28563.3,0.9,28563.3,28,15.35,79901.07,18028.29,420.03,230.23,1198516.07,270424.28,2016,61872.78,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",8450.41,0,7507.8,0.9,7507.8,0,0,0,0,35.72,23.64,2139723,28299.17,2016,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3272.47,0.19,2895.3,0.9,2895.3,9.64,7.09,174200.55,8371.79,45.65,33.57,825160.5,39655.84,2016,165828.76,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",15893.97,0,14145.3,0.9,14145.3,0,0,0,0,141.52,78.74,593536.79,88262.26,2016,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",44176.19,0,39330,0.9,39330,0,0,0,0,362.96,167.28,1650286.8,921853.3,2016,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3994.56,0,3512.7,0.9,3512.7,0,0,0,0,71.07,69.31,147392.89,58924.83,2016,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",123958.4,0,102152.7,0.9,102152.7,0,0,0,0,2681.64,2039.98,2451664.8,1693610.81,2016,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1615158.45,0.72,1411256.7,0.9,1411256.7,14699.19,8892.51,47373064.91,16445242.99,18373.99,11115.64,59216331.13,20556553.74,2016,30927821.92,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1874.78,0.15,1660.5,0.9,1660.5,5,3.4,78873.75,3571.47,29.99,20.41,473242.5,21428.83,2016,75302.28,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3287.08,0.87,2921.4,0.9,2921.4,39.43,12.92,804845.7,44025.88,40.79,13.37,832599,45544.01,2016,760819.82,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",7311.07,0.98,6713,0.9,6713,74.17,49.61,161112,51874.44,74.17,49.61,161112,51874.44,2016,109237.56,"Bhutan","South Asia","Lower middle income"
"26","BWA",24518.76,0.78,20441.7,0.9,20441.7,561.18,391.53,743369.23,417936.54,647.52,451.76,857733.73,482234.47,2016,325432.69,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",76616.88,0,56422.8,0.9,56422.8,0,0,0,0,789.27,648.38,789919.2,627078.19,2016,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",181200.7,0.79,162105.3,0.9,162105.3,722.1,415.81,40553342.55,1400306.48,822.65,473.71,46200010.5,1595285.86,2016,39153036.07,"Canada","North America","High income"
"29","CHE",39038.04,0.56,34951.5,0.9,34951.5,83.7,45.77,6198066,108272.79,134.52,73.56,9961177.5,174009.84,2016,6089793.21,"Switzerland","Europe & Central Asia","High income"
"30","CHL",120219.09,0.75,107101.8,0.9,107101.8,1099.85,757.66,3744992.94,1026972.94,1319.82,909.19,4493991.53,1232367.53,2016,2718020,"Chile","Latin America & Caribbean","High income"
"31","CHN",7848703.92,0,6854243.4,0.9,6854243.4,0,0,0,0,58468.99,37106.7,287604053.06,42256099.22,2016,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",347106.47,0,269486.1,0.9,269486.1,0,0,0,0,6059.03,4707.86,6467666.4,3725794.07,2016,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",344523.44,0,265939.2,0.9,265939.2,0,0,0,0,5918.12,4388.71,6382540.8,3502566.73,2016,0,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1178064.3,0,887219.1,0.9,887219.1,0,0,0,0,22160.56,17757.39,12421067.4,19653409.04,2016,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",65791.6,0,53396.1,0.9,53396.1,0,0,0,0,1031.82,719.35,1281506.4,382279.64,2016,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",414130.82,0.02,364419,0.9,364419,128.42,88.32,339800.47,117831.53,5779.04,3974.19,15291021.24,5302418.68,2016,221968.94,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",10161.37,0,8236.8,0.9,8236.8,0,0,0,0,330.43,254.99,115315.2,196347.99,2016,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5304.98,0,4638.6,0.9,4638.6,0,0,0,0,72,64.47,194635.66,40287.33,2016,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",35251.31,0,31307.4,0.9,31307.4,0,0,0,0,284.74,256.8,1313658.5,262317.78,2016,0,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6275.83,0,5615.1,0.9,5615.1,0,0,0,0,29.71,37.5,1600303.5,23768.7,2016,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",48724.22,0,43643.7,0.9,43643.7,0,0,0,0,372.46,226.6,12438454.5,541080.21,2016,0,"Czech Republic","Europe & Central Asia","High income"
