"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",497653.08,0,392511.6,0.9,392511.6,0,0,0,0,3062.26,2370.45,5495162.4,2293087.57,2013,0,"Afghanistan","South Asia","Low income"
"2","AGO",409060.01,0,297324.9,0.9,297324.9,0,0,0,0,8723.09,6355.87,7135797.6,7727932.33,2013,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",22147.77,0,19444.5,0.9,19444.5,0,0,0,0,113.76,68.97,815891.22,69852.54,2013,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",33268.01,0,29633.4,0.9,29633.4,0,0,0,0,221.76,167.07,8445519,157040.88,2013,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",352328.63,0.57,310998.6,0.9,310998.6,2664.38,1740.38,8264684.13,9355994.69,4206.91,2747.97,13049501.26,14772623.19,2013,-1091310.56,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16167.52,0,14131.8,0.9,14131.8,0,0,0,0,116.52,85.79,339163.2,79205.13,2013,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",137079.98,0.65,122643,0.9,122643,435.62,234.9,25244017.5,678265.86,603.16,325.24,34953255,939137.35,2013,24565751.64,"Australia","East Asia & Pacific","High income"
"8","AUT",41395.58,0,37059.3,0.9,37059.3,0,0,0,0,200.41,104.61,10561900.5,295292.82,2013,0,"Austria","Europe & Central Asia","High income"
"9","AZE",64703.91,0,54666,0.9,54666,0,0,0,0,333.47,225,1311984,244194.78,2013,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",136057.96,0,103451.4,0.9,103451.4,0,0,0,0,3818.93,3184.83,1448319.6,3738896.29,2013,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",60094.34,0.63,53799.3,0.9,53799.3,261.98,119.08,10732960.35,376678.23,374.25,170.11,15332800.5,538111.76,2013,10356282.12,"Belgium","Europe & Central Asia","High income"
"12","BEN",143227.18,0,110016,0.9,110016,0,0,0,0,1221.78,900.05,1540224,715299.08,2013,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",262951.88,0,193482,0.9,193482,0,0,0,0,2458.94,2038.59,2708748,1365117.19,2013,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1691214.76,0,1407057.3,0.9,1407057.3,0,0,0,0,11723.93,8191.58,19698802.2,8514650.88,2013,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",29768.05,0.22,26388,0.9,26388,94.5,51.54,270658.78,60838.1,386.57,210.83,1107240.48,248883.13,2013,209820.68,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",7801.28,0,6930,0.9,6930,0,0,0,0,32.91,21.78,1975050,26071.93,2013,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3300.53,0,2918.7,0.9,2918.7,0,0,0,0,45.66,33.59,831829.5,39667.27,2013,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",19234.94,0,17104.5,0.9,17104.5,0,0,0,0,170.78,94.55,717704.82,106511.34,2013,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",42198.4,0,37547.1,0.9,37547.1,0,0,0,0,345.06,158.59,1575476.32,876399.72,2013,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",4006.64,0,3519.9,0.9,3519.9,0,0,0,0,70.55,68.78,147695,58498.51,2013,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",122641.27,0,100422.9,0.9,100422.9,0,0,0,0,2624.46,1987.37,2410149.6,1657498.56,2013,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1698592.6,0,1482024.6,0.9,1482024.6,0,0,0,0,19146.27,11557.44,62185752.22,21420566.41,2013,0,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1897.36,0,1680.3,0.9,1680.3,0,0,0,0,30.1,20.47,478885.5,21505.26,2013,0,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3390.76,0.85,3013.2,0.9,3013.2,39.65,12.98,811053,44275.77,41.98,13.75,858762,46880.23,2013,766777.23,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",7679.94,0.68,6438.6,0.9,6438.6,53.39,35.67,116753.28,37344.29,70.67,47.22,154526.4,49426.27,2013,79408.99,"Bhutan","South Asia","Lower middle income"
