"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",537747.04,0,433530.9,0.9,433530.9,0,0,0,0,3435.15,2662.23,6069432.6,2572309.81,2017,0,"Afghanistan","South Asia","Low income"
"2","AGO",458174.85,0,349994.7,0.9,349994.7,0,0,0,0,10464.12,7647.55,8399872.8,9270343.6,2017,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",17379.82,0,15350.4,0.9,15350.4,0,0,0,0,90.24,54.84,644102.78,55412.09,2017,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",39378.75,0,35126.1,0.9,35126.1,0,0,0,0,264.73,199.8,10010938.5,187468.4,2017,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",355830.66,0.49,314957.7,0.9,314957.7,2334.41,1531.48,7195173.66,8197320.08,4287.7,2812.92,13215625.09,15056302.19,2017,-1002146.42,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",17157.27,0,15090.3,0.9,15090.3,0,0,0,0,125.69,92.85,362167.2,85443.05,2017,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",146202.59,0.72,130896.9,0.9,130896.9,517.6,281.82,29844493.2,805919.47,647,352.27,37305616.5,1007399.33,2017,29038573.73,"Australia","East Asia & Pacific","High income"
"8","AUT",41008.72,0,36737.1,0.9,36737.1,0,0,0,0,200.38,105.2,10470073.5,295256.63,2017,0,"Austria","Europe & Central Asia","High income"
"9","AZE",62200.47,0,53414.1,0.9,53414.1,0,0,0,0,327.95,221.62,1281938.4,240154.83,2017,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",151843.3,0,119467.8,0.9,119467.8,0,0,0,0,4505.89,3764.8,1672549.2,4411455.31,2017,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",62832.42,0.68,56283.3,0.9,56283.3,297.83,136.39,12119670.6,428223.52,394.18,180.51,16040740.5,566766.42,2017,11691447.08,"Belgium","Europe & Central Asia","High income"
"12","BEN",155991.39,0,122052.6,0.9,122052.6,0,0,0,0,1371.97,1011.86,1708736.4,803227.06,2017,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",286847.07,0,219804.3,0.9,219804.3,0,0,0,0,2841.42,2359.4,3077260.2,1577458.58,2017,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1618806.81,0,1372674.6,0.9,1372674.6,0,0,0,0,11536.6,8076.29,19217444.4,8378595.05,2017,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",33535.35,0.07,29830.5,0.9,29830.5,34.17,18.77,97353.49,21998.32,439.31,241.28,1251687.78,282835.57,2017,75355.17,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",8666.11,0,7716.6,0.9,7716.6,0,0,0,0,36.74,24.32,2199231,29108.49,2017,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3276.86,0.17,2904.3,0.9,2904.3,8.68,6.38,156348.15,7536.28,45.93,33.77,827725.5,39897.97,2017,148811.87,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",16612.77,0,14799.6,0.9,14799.6,0,0,0,0,148.19,82.6,620991.22,92418.68,2017,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",45178.94,0,40343.4,0.9,40343.4,0,0,0,0,372.92,172.06,1692809.06,947144.01,2017,0,"Belarus","Europe & Central Asia","Upper middle income"
