"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",483310.36,0,380178.9,0.9,380178.9,0,0,0,0,2955.8,2287.47,5322504.6,2213365.89,2012,0,"Afghanistan","South Asia","Low income"
"2","AGO",396136.7,0,285805.8,0.9,285805.8,0,0,0,0,8349.93,6080.14,6859339.2,7397343.75,2012,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",23721.66,0,20815.2,0.9,20815.2,0,0,0,0,121.66,73.73,873405.79,74706.59,2012,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",32883.8,0,29288.7,0.9,29288.7,0,0,0,0,218.89,164.85,8347279.5,155005.46,2012,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",350782.99,0.37,309591,0.9,309591,1719.42,1122.12,5340513.55,6037765.27,4182.38,2729.49,12990438.36,14686456.07,2012,-697251.72,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16245.21,0,14197.5,0.9,14197.5,0,0,0,0,116.82,85.96,340740,79410.05,2012,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",136724.13,0.65,122319,0.9,122319,434.03,233.59,25177327.5,675795.29,600.96,323.44,34860915,935716.56,2012,24501532.21,"Australia","East Asia & Pacific","High income"
"8","AUT",41736.25,0,37363.5,0.9,37363.5,0,0,0,0,201.71,105.17,10648597.5,297213.93,2012,0,"Austria","Europe & Central Asia","High income"
"9","AZE",66679.25,0,56275.2,0.9,56275.2,0,0,0,0,342.84,231.25,1350604.8,251059.86,2012,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",133064.92,0,100660.5,0.9,100660.5,0,0,0,0,3697.7,3082.48,1409247,3620203.58,2012,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",59889.01,0.61,53612.1,0.9,53612.1,252.44,114.57,10356070.65,362959.51,372.45,169.04,15279448.5,535514.03,2012,9993111.14,"Belgium","Europe & Central Asia","High income"
"12","BEN",140039.78,0,107281.8,0.9,107281.8,0,0,0,0,1188.15,875.07,1501945.2,695607.95,2012,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",256849.04,0,187515,0.9,187515,0,0,0,0,2373.8,1967.38,2625210,1317852.1,2012,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1695700.46,0,1407742.2,0.9,1407742.2,0,0,0,0,11707.63,8176.8,19708390.8,8502807.94,2012,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",29330.91,0,25994.7,0.9,25994.7,0,0,0,0,380.4,207.18,1090737.61,244911.61,2012,0,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",7731.74,0,6867.9,0.9,6867.9,0,0,0,0,32.6,21.57,1957351.5,25825.73,2012,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3304.07,0,2921.4,0.9,2921.4,0,0,0,0,45.61,33.55,832599,39616.73,2012,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",20841.78,0,18528.3,0.9,18528.3,0,0,0,0,184.9,102.22,777447.47,115313.7,2012,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",42314.6,0,37643.4,0.9,37643.4,0,0,0,0,345.54,158.68,1579517.06,877618.17,2012,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3979.22,0,3494.7,0.9,3494.7,0,0,0,0,69.86,68.09,146637.61,57920.42,2012,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",121816.62,0,99537.3,0.9,99537.3,0,0,0,0,2597.78,1964.39,2388895.2,1640646.39,2012,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1724165.49,0,1503630.9,0.9,1503630.9,0,0,0,0,19381.14,11691.56,63092352.56,21683333.64,2012,0,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1895.39,0,1678.5,0.9,1678.5,0,0,0,0,30,20.4,478372.5,21430.8,2012,0,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3417.22,0.98,3306.52,0.9,3306.52,46.04,15.07,942358.2,51413.96,46.04,15.07,942358.2,51413.96,2012,890944.24,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",7810.68,0.73,6535.8,0.9,6535.8,58.07,38.78,127230.24,40613.59,71.59,47.82,156859.2,50071.55,2012,86616.65,"Bhutan","South Asia","Lower middle income"
"26","BWA",23116.53,0,19070.1,0.9,19070.1,0,0,0,0,595.51,414.05,800181.4,443497.02,2012,0,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",71534.47,0,52182,0.9,52182,0,0,0,0,713.91,585.61,730548,567206.35,2012,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",186434.92,0,166739.4,0.9,166739.4,0,0,0,0,841.21,481.26,47520729,1631290.95,2012,0,"Canada","North America","High income"
"29","CHE",39415.42,0.51,35279.1,0.9,35279.1,76.25,41.44,5697574.65,98632.46,134.56,73.13,10054543.5,174057.28,2012,5598942.19,"Switzerland","Europe & Central Asia","High income"
"30","CHL",126177.18,0,112369.5,0.9,112369.5,0,0,0,0,1371.41,941.16,4715024.22,1280536.42,2012,0,"Chile","Latin America & Caribbean","High income"
"31","CHN",8195302.13,0,7137002.7,0.9,7137002.7,0,0,0,0,60540.23,38320.58,299468633.29,43753006.76,2012,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",323883.46,0,249083.1,0.9,249083.1,0,0,0,0,5485.33,4254.09,5977994.4,3373020.1,2012,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",308400.79,0,235415.7,0.9,235415.7,0,0,0,0,5150.98,3812.05,5649976.8,3048543.96,2012,0,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1032994.87,0,762528.6,0.9,762528.6,0,0,0,0,18757.62,15006.6,10675400.4,16635464.12,2012,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",58695.65,0,46892.7,0.9,46892.7,0,0,0,0,885.68,615.03,1125424.8,328136.48,2012,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",427436.9,0.85,375869.7,0.9,375869.7,5571.34,3817.12,14895298.58,5111848.59,5899.07,4041.65,15771492.61,5412545.57,2012,9783449.99,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",9438.68,0,7611.3,0.9,7611.3,0,0,0,0,302.05,232.74,106558.2,179486.05,2012,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5359,0,4682.7,0.9,4682.7,0,0,0,0,72.19,64.56,196486.09,40393.87,2012,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",37905.85,0,33654.6,0.9,33654.6,0,0,0,0,304.06,272.33,1412147.02,280116.58,2012,0,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6672.52,0,5968.8,0.9,5968.8,0,0,0,0,31.4,39.2,1701108,25124.47,2012,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",43107.47,0,38603.7,0.9,38603.7,0,0,0,0,327.16,197.91,11002054.5,475268.04,2012,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",382867.71,0.27,342819.9,0.9,342819.9,671.98,337.79,29311101.45,984852.1,2239.93,1125.98,97703671.5,3282840.33,2012,28326249.35,"Germany","Europe & Central Asia","High income"
"43","DJI",9328.95,0,7406.1,0.9,7406.1,0,0,0,0,91.79,73.32,177746.4,57013.74,2012,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",33337.66,0.72,29836.8,0.9,29836.8,202.39,94.21,6802790.4,287159.52,252.99,117.76,8503488,358949.4,2012,6515630.88,"Denmark","Europe & Central Asia","High income"
"45","DOM",100225.78,0,87005.7,0.9,87005.7,0,0,0,0,1788.95,1459.7,3650759.17,1570756.62,2012,0,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",291887.53,0,251977.5,0.9,251977.5,0,0,0,0,2128.75,1393.85,10572975.9,1216431.63,2012,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",156892.84,0,136877.4,0.9,136877.4,0,0,0,0,2759.05,1936.44,5743375.7,1702654.6,2012,0,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",862362.04,0,745637.4,0.9,745637.4,0,0,0,0,2564.94,1928.98,31286945.3,3209363.61,2012,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",215748.15,0.69,193198.5,0.9,193198.5,742.04,369.83,42213872.25,1006003.76,967.88,482.39,55061572.5,1312178.82,2012,41207868.49,"Spain","Europe & Central Asia","High income"
"50","EST",5696.84,0,5080.5,0.9,5080.5,0,0,0,0,84.08,29.43,1447942.5,73277.2,2012,0,"Estonia","Europe & Central Asia","High income"
"51","ETH",1423247.42,0,1112038.2,0.9,1112038.2,0,0,0,0,19394.57,15643.7,15568534.8,21650660.16,2012,0,"Ethiopia","Sub-Saharan Africa","Low income"
"52","FIN",28485.52,0,25533,0.9,25533,0,0,0,0,107.09,46.85,7276905,156627.07,2012,0,"Finland","Europe & Central Asia","High income"
"53","FJI",7618.26,0,6671.7,0.9,6671.7,0,0,0,0,179.83,146.4,279944.53,148879.91,2012,0,"Fiji","East Asia & Pacific","Upper middle income"
"54","FRA",378229.68,0.17,338678.1,0.9,338678.1,442.73,210.44,18232171.05,613760.63,2343.89,1114.11,96523258.5,3249321,2012,17618410.42,"France","Europe & Central Asia","High income"
"55","FSM",1257.07,0,1073.7,0.9,1073.7,0,0,0,0,25.43,19.53,45052.45,17819.03,2012,0,"Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income"
"56","GAB",19990.88,0,16326,0.9,16326,0,0,0,0,414.79,253.29,685038.96,183976.93,2012,0,"Gabon","Sub-Saharan Africa","Upper middle income"
"57","GBR",354478.57,0.87,317052.9,0.9,317052.9,2062.92,762.7,87348073.95,3014276.95,2134.06,789,90360076.5,3118217.54,2012,84333797,"United Kingdom","Europe & Central Asia","High income"
"58","GEO",22172.09,0,19388.7,0.9,19388.7,0,0,0,0,192.21,127.09,465328.8,137724.28,2012,0,"Georgia","Europe & Central Asia","Upper middle income"
"59","GHA",332264.55,0,267081.3,0.9,267081.3,0,0,0,0,6578.51,4794.7,6409951.2,11016243.49,2012,0,"Ghana","Sub-Saharan Africa","Lower middle income"
"60","GIN",173088.05,0,127720.8,0.9,127720.8,0,0,0,0,4633.85,3709.2,1788091.2,3745528.05,2012,0,"Guinea","Sub-Saharan Africa","Low income"
"61","GMB",27042.32,0,21409.2,0.9,21409.2,0,0,0,0,862.1,771.53,299728.8,999289.19,2012,0,"Gambia, The","Sub-Saharan Africa","Low income"
"62","GNB",23528.93,0,17608.5,0.9,17608.5,0,0,0,0,503.6,409.08,246519,335047.96,2012,0,"Guinea-Bissau","Sub-Saharan Africa","Low income"
"63","GNQ",12060.06,0,9171.9,0.9,9171.9,0,0,0,0,200.75,132.15,2613991.5,93233.48,2012,0,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income"
